category,neighborhood,primary_type,classification,year,beat,community_area,domestic,iucr,long,location_description,case_number,crime_date,lat,community_number,ward,fbi_code,id,block,description
-,Lawndale,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1013,/api/1.0-beta1/communityarea/29/,TRUE,486,-87.73455708,APARTMENT,HW203472,2013-03-23T05:00:00,41.84843339,29,22,08B,9058845,023XX S KOSTNER AVE,DOMESTIC BATTERY SIMPLE
-,West Woodlawn,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,321,/api/1.0-beta1/communityarea/42/,TRUE,486,-87.60719423,APARTMENT,HW203470,2013-03-23T05:00:00,41.77410284,42,20,08B,9058789,066XX S EVANS AVE,DOMESTIC BATTERY SIMPLE
P,Canaryville,THEFT,/api/1.0-beta1/crimeclassification/83/,2013,925,/api/1.0-beta1/communityarea/61/,TRUE,820,-87.64315543,STREET,HW207158,2013-03-23T05:00:00,41.81672918,61,11,6,9062247,042XX S UNION AVE,$500 AND UNDER
V,Chatham,ROBBERY,/api/1.0-beta1/crimeclassification/362/,2013,632,/api/1.0-beta1/communityarea/44/,TRUE,031A,-87.61324642,SIDEWALK,HW203498,2013-03-23T05:00:00,41.74365178,44,6,3,9058836,083XX S VERNON AVE,ARMED: HANDGUN
-,South Loop,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,131,/api/1.0-beta1/communityarea/33/,TRUE,460,-87.62716793,STREET,HW203466,2013-03-23T04:45:00,41.86282068,33,2,08B,9058813,014XX S STATE ST,SIMPLE
-,Marquette Park,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,832,/api/1.0-beta1/communityarea/66/,TRUE,460,-87.68717678,APARTMENT,HW203455,2013-03-23T04:40:00,41.76892454,66,15,08B,9058805,068XX S MAPLEWOOD AVE,SIMPLE
-,North Kenwood,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,222,/api/1.0-beta1/communityarea/39/,TRUE,486,-87.59558516,APARTMENT,HW203449,2013-03-23T04:30:00,41.81268758,39,4,08B,9058769,045XX S LAKE PARK AVE,DOMESTIC BATTERY SIMPLE
-,None,OTHER OFFENSE,/api/1.0-beta1/crimeclassification/357/,2013,1655,/api/1.0-beta1/communityarea/76/,TRUE,5007,-87.89037291,AIRPORT/AIRCRAFT,HW203440,2013-03-23T04:20:00,41.97475219,76,41,26,9062057,0000X W TERMINAL ST,OTHER WEAPONS VIOLATION
-,Gresham,WEAPONS VIOLATION,/api/1.0-beta1/crimeclassification/375/,2013,621,/api/1.0-beta1/communityarea/69/,TRUE,143A,-87.63827638,SIDEWALK,HW203429,2013-03-23T04:20:00,41.75732162,69,17,15,9058795,075XX S PARNELL AVE,UNLAWFUL POSS OF HANDGUN
-,Uptown,BATTERY,/api/1.0-beta1/crimeclassification/48/,2013,1914,/api/1.0-beta1/communityarea/3/,TRUE,486,-87.65454974,SIDEWALK,HW203443,2013-03-23T04:15:00,41.96554308,3,46,08B,9058772,009XX W WILSON AVE,DOMESTIC BATTERY SIMPLE
Q,Lawndale,CRIMINAL DAMAGE,/api/1.0-beta1/crimeclassification/144/,2013,1132,/api/1.0-beta1/communityarea/26/,TRUE,1310,-87.73137138,RESIDENCE,HW203436,2013-03-23T04:10:00,41.87268971,26,24,14,9058778,006XX S TRIPP AVE,TO PROPERTY
-,Lake View East,BATTERY,/api/1.0-beta1/crimeclassification/36/,2013,1925,/api/1.0-beta1/communityarea/6/,TRUE,460,-87.64545526,SIDEWALK,HW203444,2013-03-23T04:10:00,41.95027781,6,46,08B,9058777,006XX W WAVELAND AVE,SIMPLE
