homicide,theft,arson,battery,criminal_damage,community_area,sexual_assault,prostitution,narcotics,community_name,assault,robbery,year,burglary,community_number,crime_date,motor_vehicle_theft
0,4,0,2,7,/api/1.0-beta1/communityarea/1/,0,0,4,Rogers Park,0,1,2001,1,1,2001-01-01,0
0,5,0,0,6,/api/1.0-beta1/communityarea/2/,1,0,1,West Ridge,0,0,2001,1,2,2001-01-01,0
0,6,0,0,5,/api/1.0-beta1/communityarea/3/,0,0,1,Uptown,0,4,2001,4,3,2001-01-01,0
0,0,0,1,2,/api/1.0-beta1/communityarea/4/,1,0,0,Lincoln Square,0,0,2001,1,4,2001-01-01,1
0,1,0,0,2,/api/1.0-beta1/communityarea/5/,0,0,0,North Center,0,0,2001,0,5,2001-01-01,0
0,10,0,0,5,/api/1.0-beta1/communityarea/6/,0,0,0,Lake View,0,2,2001,2,6,2001-01-01,2
0,6,0,0,3,/api/1.0-beta1/communityarea/7/,3,1,0,Lincoln Park,0,0,2001,1,7,2001-01-01,1
0,20,0,0,6,/api/1.0-beta1/communityarea/8/,0,0,0,Near North Side,0,2,2001,1,8,2001-01-01,0
0,1,0,0,0,/api/1.0-beta1/communityarea/9/,0,0,0,Edison Park,0,0,2001,0,9,2001-01-01,0
0,1,0,0,1,/api/1.0-beta1/communityarea/10/,1,0,0,Norwood Park,0,0,2001,0,10,2001-01-01,0
0,2,0,0,3,/api/1.0-beta1/communityarea/11/,0,0,0,Jefferson Park,0,0,2001,0,11,2001-01-01,0
0,1,0,0,0,/api/1.0-beta1/communityarea/12/,0,0,0,Forest Glen,0,0,2001,0,12,2001-01-01,0
0,0,0,0,0,/api/1.0-beta1/communityarea/13/,0,0,0,North Park,0,0,2001,0,13,2001-01-01,0
0,6,0,1,2,/api/1.0-beta1/communityarea/14/,2,0,2,Albany Park,0,0,2001,0,14,2001-01-01,2
0,7,0,0,2,/api/1.0-beta1/communityarea/15/,2,0,1,Portage Park,0,0,2001,3,15,2001-01-01,0
0,6,0,1,7,/api/1.0-beta1/communityarea/16/,1,0,2,Irving Park,0,0,2001,0,16,2001-01-01,1
0,0,0,1,0,/api/1.0-beta1/communityarea/17/,0,0,0,Dunning,0,1,2001,1,17,2001-01-01,0
0,0,0,0,0,/api/1.0-beta1/communityarea/18/,0,0,0,Montclare,0,0,2001,0,18,2001-01-01,0
